task__calibration,task__created,task__id,task__info,task__n_answers,task__priority_0,task__project_id,task__quorum,task__state,taskinfo__id,taskinfo__image_url,taskinfo__source_uri
0,2015-05-04T15:58:56.991459,579,"{""source_uri"": ""http://www.npr.org/blogs/goatsandsoda/2014/07/24/334948345/this-suit-keeps-ebola-out-so-how-can-a-health-worker-catch-it"", ""image_url"": ""http://media.npr.org/assets/img/2014/07/24/ebola-suit-2_slide-74ca9d6bd40bf3ba5b80bf65315f4d105b06cbb7-s2-c85.jpg"", ""id"": ""32""}",15,0,27,0,completed,32,http://media.npr.org/assets/img/2014/07/24/ebola-suit-2_slide-74ca9d6bd40bf3ba5b80bf65315f4d105b06cbb7-s2-c85.jpg,http://www.npr.org/blogs/goatsandsoda/2014/07/24/334948345/this-suit-keeps-ebola-out-so-how-can-a-health-worker-catch-it
0,2015-05-04T15:58:57.018237,580,"{""source_uri"": ""http://newtelegraphonline.com/ebola-protective-equipment-grossly-inadequate-say-doctors-health-workers/"", ""image_url"": ""http://who.int/features/2014/ebola-liberia/ebola-liberia-9.jpg"", ""id"": ""33""}",15,0,27,0,completed,33,http://who.int/features/2014/ebola-liberia/ebola-liberia-9.jpg,http://newtelegraphonline.com/ebola-protective-equipment-grossly-inadequate-say-doctors-health-workers/
0,2015-05-04T15:58:57.046718,581,"{""source_uri"": ""http://www.dw.de/failures-in-the-fight-against-ebola/a-17897009"", ""image_url"": ""http://www.dw.de/image/0,,17975566_301,00.jpg"", ""id"": ""34""}",15,0,27,0,completed,34,"http://www.dw.de/image/0,,17975566_301,00.jpg",http://www.dw.de/failures-in-the-fight-against-ebola/a-17897009
0,2015-05-04T15:58:57.074314,582,"{""source_uri"": ""http://www.dailymail.co.uk/news/article-2725754/Ebola-vastly-worse-thought-warns-World-Health-Organisation-America-evacuates-diplomatic-families-affected-country.html"", ""image_url"": ""http://starrfmonline.com/kitnes/data/2014/10/02/1.1858484.jpg"", ""id"": ""35""}",15,0,27,0,completed,35,http://starrfmonline.com/kitnes/data/2014/10/02/1.1858484.jpg,http://www.dailymail.co.uk/news/article-2725754/Ebola-vastly-worse-thought-warns-World-Health-Organisation-America-evacuates-diplomatic-families-affected-country.html
0,2015-05-04T15:58:57.098574,583,"{""source_uri"": ""http://who.int/features/2014/ebola-liberia/photos/en/index2.html"", ""image_url"": ""http://who.int/features/2014/ebola-liberia/ebola-liberia-3.jpg"", ""id"": ""36""}",15,0,27,0,completed,36,http://who.int/features/2014/ebola-liberia/ebola-liberia-3.jpg,http://who.int/features/2014/ebola-liberia/photos/en/index2.html
0,2015-05-04T15:58:57.124134,584,"{""source_uri"": ""http://www.bbc.com/news/health-29518703"", ""image_url"": ""http://www.scientificamerican.com/sciam/cache/file/6B9F198F-7910-4803-AFA07F360E437AF8.jpg"", ""id"": ""37""}",15,0,27,0,completed,37,http://www.scientificamerican.com/sciam/cache/file/6B9F198F-7910-4803-AFA07F360E437AF8.jpg,http://www.bbc.com/news/health-29518703
0,2015-05-04T15:58:57.149327,585,"{""source_uri"": ""http://www.nydailynews.com/news/national/gonzalez-hospital-nurses-claim-lack-ebola-protocols-article-1.1974703"", ""image_url"": ""http://graphics8.nytimes.com/images/2014/10/20/multimedia/liberia-ebola-clinic-day/liberia-ebola-clinic-day-videoSixteenByNine1050.jpg"", ""id"": ""38""}",15,0,27,0,completed,38,http://graphics8.nytimes.com/images/2014/10/20/multimedia/liberia-ebola-clinic-day/liberia-ebola-clinic-day-videoSixteenByNine1050.jpg,http://www.nydailynews.com/news/national/gonzalez-hospital-nurses-claim-lack-ebola-protocols-article-1.1974703
0,2015-05-04T15:58:57.175425,586,"{""source_uri"": ""http://www.doctorswithoutborders.org/our-work/medical-issues/ebola"", ""image_url"": ""https://media.msf.org/Doc/MSF/Media/TR1/a/2/8/c/MSB12583.jpg"", ""id"": ""39""}",15,0,27,0,completed,39,https://media.msf.org/Doc/MSF/Media/TR1/a/2/8/c/MSB12583.jpg,http://www.doctorswithoutborders.org/our-work/medical-issues/ebola
0,2015-05-04T15:58:57.205006,587,"{""source_uri"": ""http://www.doctorswithoutborders.org/our-work/medical-issues/ebola"", ""image_url"": ""https://media.msf.org/Doc/MSF/Media/TR1/d/1/4/e/MSB12577.jpg"", ""id"": ""40""}",15,0,27,0,completed,40,https://media.msf.org/Doc/MSF/Media/TR1/d/1/4/e/MSB12577.jpg,http://www.doctorswithoutborders.org/our-work/medical-issues/ebola
0,2015-05-04T15:58:57.233398,588,"{""source_uri"": ""http://www.doctorswithoutborders.org/our-work/medical-issues/ebola"", ""image_url"": ""http://www.doctorswithoutborders.org/sites/usa/files/styles/article_homepage/public/dominic.png?itok=E9IGXopD"", ""id"": ""41""}",15,0,27,0,completed,41,http://www.doctorswithoutborders.org/sites/usa/files/styles/article_homepage/public/dominic.png?itok=E9IGXopD,http://www.doctorswithoutborders.org/our-work/medical-issues/ebola
